pos2 → pos3 Transformation Analysis
Generated: 05/31/2026 13:15:26

=== pos2 Msg 2  →  pos3 Msg 3 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
   22 |  101 |   24 |    -77 |     -2 |      -2 |      -77
   23 |   43 |  203 |    160 |      0 |      10 |       35
   24 |  112 |  223 |    111 |      1 |      11 |      111

=== pos2 Msg 21  →  pos3 Msg 22 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
--------------------------------------------------------------
    0 |  130 |   40 |    -90 |      0 |     -15 |      -90
    1 |  230 |   34 |   -196 |     -1 |     -21 |      -71
    2 |  140 |  224 |     84 |      4 |       9 |       84
    3 |  300 |    2 |   -298 |     -3 |     -23 |      -48
    4 |  210 |  231 |     21 |      1 |      21 |       21
    5 |  124 |  243 |    119 |      4 |      19 |      119
    6 |  220 |  110 |   -110 |      0 |     -10 |     -110
    7 |  132 |  241 |    109 |      4 |       9 |      109
    8 |   23 |   31 |      8 |      3 |       8 |        8
    9 |    3 |   22 |     19 |      4 |      19 |       19
   10 |   42 |  110 |     68 |      3 |      18 |       68
   11 |  212 |  230 |     18 |      3 |      18 |       18
   12 |    2 |  122 |    120 |      0 |      20 |      120
   13 |   11 |   40 |     29 |      4 |       4 |       29
   14 |  213 |   23 |   -190 |      0 |     -15 |      -65
   15 |   14 |   42 |     28 |      3 |       3 |       28
   16 |  240 |  223 |    -17 |     -2 |     -17 |      -17
   17 |    1 |   33 |     32 |      2 |       7 |       32
   18 |  213 |  141 |    -72 |     -2 |     -22 |      -72
   19 |  211 |  224 |     13 |      3 |      13 |       13
   20 |  223 |  214 |     -9 |     -4 |      -9 |       -9
   21 |  233 |  131 |   -102 |     -2 |      -2 |     -102
   22 |  100 |  311 |    211 |      1 |      11 |       86
   23 |  304 |  312 |      8 |      3 |       8 |        8
   24 |   12 |   42 |     30 |      0 |       5 |       30

=== pos2 Msg 27  →  pos3 Msg 28 ===
Index | pos2 | pos3 | Δ(abs) | Δ(mod5) | Δ(mod25) | Δ(mod125)
--------------------------------------------------------------
    0 |  110 |  222 |    112 |      2 |      12 |      112
    1 |  122 |  122 |      0 |      0 |       0 |        0
    2 |  101 |    0 |   -101 |     -1 |      -1 |     -101
    3 |  103 |  122 |     19 |      4 |      19 |       19
    4 |  131 |   10 |   -121 |     -1 |     -21 |     -121
    5 |  233 |  123 |   -110 |      0 |     -10 |     -110
    6 |  212 |  210 |     -2 |     -2 |      -2 |       -2
    7 |  114 |  122 |      8 |      3 |       8 |        8
    8 |  201 |   23 |   -178 |     -3 |      -3 |      -53
    9 |   20 |  130 |    110 |      0 |      10 |      110
   10 |  234 |  100 |   -134 |     -4 |      -9 |       -9
   11 |  240 |   14 |   -226 |     -1 |      -1 |     -101
   12 |   13 |   41 |     28 |      3 |       3 |       28
   13 |   11 |   21 |     10 |      0 |      10 |       10
   14 |  141 |  224 |     83 |      3 |       8 |       83
   15 |  133 |   10 |   -123 |     -3 |     -23 |     -123
   16 |   33 |  304 |    271 |      1 |      21 |       21
